Название,Цена,Ссылка,Описание,Просмотров,Дата публикации,Продавец,Адрес
"Труба,квадрат, уголок, швеллер",3000,https://www.avito.ru/novosibirsk/remont_i_stroitelstvo/trubakvadrat_ugolok_shveller_3306315299,"Труба 325*7мм длина 10,73м/ вес 589 кг цена 26500 руб. Труба 320*7мм длина 11,1м / вес 600 кг цена 27000 руб. Труба 325*10мм длина 1,97м/ вес 153 кг цена 6900 руб. Труба 325*7мм длина 2,47м/ вес 136 кг цена 6100 руб. Труба 145*6мм длина 3,35 м вес 69 кг цена 3450 руб. Квадрат 40*40 всего 98,83 м/п вес 1244 кг цена по 45 руб/кг. Уголок 180*180*12мм дл. 6,14м вес 200 кг цена 9000 руб. Уголок 130*130*10мм дл. 3,09м вес 60 кг цена 3000 руб. Уголок 150*150*14мм дл.2,48м вес 77 кг цена 3600 руб. Двутавр 160 / 140. Двутавр 280 длина 5,0м вес 165 кг цена 7500 руб.",407,сегодня в 11:10,Частное лицо,"Новосибирская область, Новосибирск"
Труба металлическая,55,https://www.avito.ru/chelyabinsk/remont_i_stroitelstvo/truba_metallicheskaya_2796426748,"Продам трубу разных гостов 10706-76, 10705-80, 8732-78, 8734-75 и другие, разных диаметров ду 15 20 32 40 50, 57 108 133 159 219 273 325 426 530 720 820 1020 1220, толщина стенки разная Трубы бесшовные, трубы оцинкованные Трубы стальные электросварные. Отрежим кусок. Свой большой склад широкий ассортимент труба в наличии возможна отгрузка день в день. Фото цена количество по запросу осмотр в любой день. Скидки (Выкуп).",2170,сегодня в 11:07,Частное лицо,"Челябинская область, Челябинск"
Труба металлическая д420мм,30000,https://www.avito.ru/tara/remont_i_stroitelstvo/truba_metallicheskaya_d420mm_2586632087,"Продам трубу. Диаметр 420мм. Длина 6м 40 см. Толщина 13мм. На подъезд, на печки банные, гаражные. Вес 990кг, могу погрузить. Обмен на оцинкованный профлист, штангу буровую.",760,сегодня в 10:54,Частное лицо,"Омская область, Тарский р-н, Тара"
Труба 530*8,40000,https://www.avito.ru/ufa/remont_i_stroitelstvo/truba_5308_2963983968,"Продам 530*7-10 п/ш/чешка, нефть,. Свая. Длина 8-11,5м. Описание соответствует фактическому состоянию!",293,сегодня в 10:48,Частное лицо,"Республика Башкортостан, Уфа"
Труба металлическая 219,45,https://www.avito.ru/amurskaya_oblast_blagoveschensk/remont_i_stroitelstvo/truba_metallicheskaya_219_3328213569,Продам трубы б/у 219. Длина от 4-х до 10 метров. Стоимость 45 р. За кг.,339,сегодня в 10:43,Частное лицо,"Амурская область, Благовещенск"
Трубы вентиляционные 5 м с переходом,4000,https://www.avito.ru/orenburg/remont_i_stroitelstvo/truby_ventilyatsionnye_5_m_s_perehodom_2188019556?slocation=621540,"Вентиляционные трубы квадратные 5 метров, можно под вытяжку и под приточку. Состояние, как новое. БУ недолго.",1092,сегодня в 10:42,Частное лицо,"Оренбургская область, Оренбург"
Продам трубы,50,https://www.avito.ru/grivenskaya/remont_i_stroitelstvo/prodam_truby_2664725566,"Продам трубы толстостенные 50 рублей за килограмм,10шт по 3 метра.",379,сегодня в 10:40,Частное лицо,"Краснодарский край, Славянский р-н, Забойское сельское поселение, хутор Солодковский"
Труба Б/у 720/12 п/ш,33000,https://www.avito.ru/langepas/remont_i_stroitelstvo/truba_bu_72012_psh_2866310689,Труба б/у 720/12 прямошов. Пл. Изол. 8шт. Длины по 11м.,94,сегодня в 10:18,Частное лицо,"Тюменская область, Лангепас"
Труба от буржуйки,1500,https://www.avito.ru/nazarovo/remont_i_stroitelstvo/truba_ot_burzhuyki_3403411806,"Труба от печки буржуйки. Сварена из двух частей. Труба 147 см полная длина, 10 см наварено из более тонкого металла. Диаметр 10см. Окружность 34 см. Толщина 2-3 мм. Самовывоз.",1,сегодня в 10:16,Частное лицо,"Красноярский край, Назарово"
Профильная труба,7000,https://www.avito.ru/lobnya/remont_i_stroitelstvo/profilnaya_truba_2913546578,8.10 конёк 60.,718,сегодня в 10:00,Частное лицо,"Московская область, Лобня"
