Название,Цена,Ссылка,Описание,Просмотров,Дата публикации,Продавец,Адрес
Труба металлическая 530 бу,5500,https://www.avito.ru/saratov/remont_i_stroitelstvo/truba_metallicheskaya_530_bu_3148987365,Катушка трубы диаметром 530 мм под казан высота 700 мм стенка 6.5 мм… Конечный результат на фотографии казан 22 литра чугунный прекрасный вариант для дачи или частного дома… Далее ваши фантазии печь для бани или ещё что-то… Так же есть катушка трубы 530 стенка 8 мм длина 500 мм.,694,сегодня в 04:43,Частное лицо,"Саратовская область, Татищевский р-н, Сторожевское муниципальное образование, с. Сторожевка"
Труба 325,3000,https://www.avito.ru/ulan-ude/remont_i_stroitelstvo/truba_325_2363506267,"Труба 325. 5,5 метров. Толщина стенки 10 мм. Цена за метр.",454,сегодня в 02:48,Частное лицо,"Республика Бурятия, Улан-Удэ"
Труба 530х8 бу,27000,https://www.avito.ru/nikolo-pavlovskoe/remont_i_stroitelstvo/truba_530h8_bu_2527734372,Продам трубу 530х8 бу. Длина 5.5 м.,1201,сегодня в 02:01,Частное лицо,"Свердловская область, Горноуральский г.о., с. Николо-Павловское"
Трубы б/у,40,https://www.avito.ru/rubtsovsk/remont_i_stroitelstvo/truby_bu_804721784,"Труба 530 *6-7 *11.5, п/ш, вода.",219,сегодня в 04:56,Компания,"Алтайский край, Рубцовск"
Труба стальная 630х9мм,12000,https://www.avito.ru/omsk/remont_i_stroitelstvo/truba_stalnaya_630h9mm_3483218835,Низкоуглеродистая сталь. Труба для печи. Труба под воду.,56,сегодня в 06:51,Частное лицо,"Омская область, Омск"
Труба металлическая,45000,https://www.avito.ru/pallasovka/remont_i_stroitelstvo/truba_metallicheskaya_2798353499,"Труба металическая. Длина 5.34 м., диаметр 1220 мм., толщина 13-15 мм., торцы заварены по середине крышка.",273,сегодня в 07:42,Частное лицо,"Волгоградская область, Палласовский р-н, Заволжское сельское поселение, пос. Заволжский"
"Труба на заезд 325, 530, 720",2300,https://www.avito.ru/chernushka/remont_i_stroitelstvo/truba_na_zaezd_325_530_720_2250100932,"Продам трубу б/у 325 — 2300р/м, 530 длина 3,16м -4100р/м, 720*10мм (остаток 5м.). Есть штанга 19 и 22. Труба 219 -1800р/м. Также выкупим вашу трубу любых диаметров и в любых объемах, если не доступен пишите обязательно отвечу.",1355,сегодня в 08:06,Частное лицо,"Пермский край, Чернушинский г.о., Чернушка"
"Труба металлическая 530 бу, длина 4,80м",13000,https://www.avito.ru/izhevsk/remont_i_stroitelstvo/truba_metallicheskaya_530_bu_dlina_480m_2983187186,"Труба 530 бу, длина 4,80м.",423,сегодня в 08:20,Частное лицо,"Удмуртская Республика, Ижевск"
Труба металлическая 426 мм,20000,https://www.avito.ru/verhnee_dubrovo/remont_i_stroitelstvo/truba_metallicheskaya_426_mm_3387760315,"Труба 426 под дорогу, толщина стенки 12мм, самовывоз из Верхнего Дуброво.",12,сегодня в 08:16,Частное лицо,"Свердловская область, г.о. Верхнее Дуброво, пос. городского типа Верхнее Дуброво"
Продам металл бу,45,https://www.avito.ru/penza/remont_i_stroitelstvo/prodam_metall_bu_2386052091,"Продам трубы б/у в отличном состоянии. D 76*3,5 мм. D 89*3,5-4 мм. D 102*3.5-4 мм. D 108 мм. D 114 мм. D 133 мм. D 146 мм. D 159 мм. D 219x6-7-8-9-10мм. D 273*6-7 мм. D 325х8. D 377*8-9-10мм. D 508х10 мм. D 530x6-8-9-10 мм. D 720x8-9 мм. Балка 36 тяги по 12 метров 2 шт. Балки двутавровые б/у 18,27,30,35 цена 50 руб/кг. Швеллер 22, 14. Листы металла. 3х1250х2500 мм. 9х1950х12000 мм. 10х1500х12000 мм. 12х1500х3000 мм. 14х1500х3000 мм. 60 руб/кг.",12355,сегодня в 08:28,Частное лицо,"Пензенская область, Пенза"
Труба 1020 бу,50000,https://www.avito.ru/krasnoyarskiy_kray_berezovka/remont_i_stroitelstvo/truba_1020_bu_3142180443,"Продаём трубу 1020×11-12,5. Труба из под нефтепродуктов. Находится в г. Томск в наличии. Всегда большой ассортимент б/у трубы больших диаметров в наличии в разных регионах.",69,сегодня в 08:59,Частное лицо,"Красноярский край, Берёзовский р-н, пос. городского типа Березовка"
Труба бу,45,https://www.avito.ru/nizhniy_tagil/remont_i_stroitelstvo/truba_bu_3342928909,"В наличии: Труба 530×8мм длина 6.5м цена 30 000р. Труба 530×8мм длина 4м цена 20 000р. Труба 720×10мм длина 3м цена 20 000р. Самовывоз. Можно кусками по метру. 530-5600р. За метр. 720- 9700р. За метр. Резка самостоятельно, электричество дам. Труба в канаву. Труба под проезд. Труба ливневая. Труба металлическая. Труба для заезда. Труба толстостенная. Труба на печь.",369,сегодня в 09:07,Частное лицо,"Свердловская область, Нижний Тагил"
Труба 530х7 бу,40,https://www.avito.ru/rybinsk/remont_i_stroitelstvo/truba_530h7_bu_2522838573,"Труба 530х7, осталась одна часть 1.6м.40 р за кг.",2091,сегодня в 09:06,Частное лицо,"Ярославская область, Рыбинск"
Труба металлическая 720 на ливневку,45000,https://www.avito.ru/nevinnomyssk/remont_i_stroitelstvo/truba_metallicheskaya_720_na_livnevku_3429629482,Труба 720 мм стенка 8мм. Для ливнёвки. Внутри чистая. Длинна 8. Метров.,308,сегодня в 09:30,Частное лицо,"Ставропольский край, Невинномысск"
Труба стальная 630*10 б/у,10000,https://www.avito.ru/lipetsk/remont_i_stroitelstvo/truba_stalnaya_63010_bu_3213690434,147 см.,51,сегодня в 09:43,Частное лицо,"Липецкая область, Липецкий р-н, Введенский сельсовет, с. Ситовка"
"Труба б/у, в канаву 73, 133, 159, 325, 530",430,https://www.avito.ru/sharya/remont_i_stroitelstvo/truba_bu_v_kanavu_73_133_159_325_530_1313071558,"Труба 73 толстостенные, возможна нарезка в размер, идеальна для строительства заборов, цена за метр 73 трубы, 133-1300р — есть 2метра стенка 4-5. 159-1814р стенка -7мм б/у. 325-4200р стенка 8.5мм. 530-6140р стенка 8мм.",14975,сегодня в 09:59,Частное лицо,"Костромская область, Шарья"
"Продам трубу и восстановленую 168х7-8, 530х7,5-8",1450,https://www.avito.ru/samara/remont_i_stroitelstvo/prodam_trubu_i_vosstanovlenuyu_168h7-8_530h75-8_1948209354,"Продам трубу б/у и восстановленую 159,168х7-8,219×5,5,273х8. 325х9,530х8,630,720,820,1020,1220. Длинны труб от 7 до 12метров. В ассортименте труба б/у и восстановленая диаметр от 159 до 1420. Сжатые сроки доступные цены! Любая труба под заказ!",1201,сегодня в 10:41,Частное лицо,"Самарская область, Самара"
"Трубы бу 1220 и,325,219,426,108,133,48",45000,https://www.avito.ru/naberezhnye_chelny/remont_i_stroitelstvo/truby_bu_1220_i32521942610813348_2405503350,"Продам трубы бу. 1220*12 -1.64м, 219х7. 426х8-9. 325х8. 108х3,5 новые по 1.5м = 15 шт. 133х4 новый = 2м, 219х8 БУ = 2.9м 2 шт. Вгп 40х3.5 ( ф 48 наружка) новые = 2шт по 2.4м. Звоните спрашивайте. Уточняйте. Оплата нал/безнал/с ндс.",355,сегодня в 11:07,Частное лицо,"Республика Татарстан, Набережные Челны"
Продам трубу бу,25000,https://www.avito.ru/krasnoyarskiy_kray_zelenogorsk/remont_i_stroitelstvo/prodam_trubu_bu_3487991254,"Продам железную трубу, б/у. Диаметр трубы- 720 мм. Длина — 4800 мм. Толщина стенки — 8 мм.",0,сегодня в 12:14,Частное лицо,"Красноярский край, Зеленогорск"
Труба бу 320мм,5000,https://www.avito.ru/menzelinsk/remont_i_stroitelstvo/truba_bu_320mm_3465141460,"Труба металлическая диаметр 325 мм. Толщина стенки. 5 мм. Длина 4 м. Находится в агрызском районе. Цена за трубу. В наличии несколько, подробности по телефону. Не всегда бываю доступен, но дозвониться можно. Спрашивать Тахира.",0,сегодня в 12:19,Частное лицо,"Республика Татарстан, Агрызский р-н"
Труба металлическая 530,15000,https://www.avito.ru/chervishevo/remont_i_stroitelstvo/truba_metallicheskaya_530_3413353142,Продам две трубы диаметром 500 и 300 для въезда во двор. З00 будет 15тыс диаметром500 будет20тыс обе длинной 5.5м.,0,сегодня в 12:50,Частное лицо,"Тюменская область, Тюменский р-н, с. Червишево"
Труба металлическая длина 7.5 метров,30000,https://www.avito.ru/gus-hrustalnyy/remont_i_stroitelstvo/truba_metallicheskaya_dlina_7.5_metrov_3142045947,"Длина 7.5 метров, диаметр 530мм, толщина стенки 0.9мм.",261,сегодня в 13:12,Частное лицо,"Владимирская область, Гусь-Хрустальный"
Труба вентиляционная бу,10000,https://www.avito.ru/pychas/remont_i_stroitelstvo/truba_ventilyatsionnaya_bu_2515707991,"Вентиляция большие трубы 630, маленькая 400. Длина по 2.5 м. Оцинковка 1мм. Флянцы, отводы все в сборе.",109,сегодня в 13:21,Частное лицо,"Удмуртская Республика, Малопургинский р-н, д. Бобья-Уча"
Труба б/у 530х8,55000,https://www.avito.ru/volgograd/remont_i_stroitelstvo/truba_bu_530h8_3412904062?slocation=621540,Продам трубу б/у: Дн 530х8 пр/ш. Мех. Очищена (щётки+фаска) 55000 р. Восстановленная 59000 руб. Цена в объявлении «от» за тонну. Цены на объем менее 1 тн. Будут меняться. Вес 1 пог. Метра 103 кг. Отгрузка возможна со склада в Дзержинском р-не г. Волгограда. Всегда есть возможность доставки. График работы / Как оплатить / Сделать сборный заказ / Нужна помощь с доставкой. Обращайтесь к менеджеру набрав номер телефона в объявлении.,0,сегодня в 13:20,Частное лицо,"Волгоградская область, Волгоград"
Труба 530,3000,https://www.avito.ru/bor/remont_i_stroitelstvo/truba_530_2951881310,"Труба 530 б/у, отрезки 0,8 м и 0,6м.",940,сегодня в 13:20,Частное лицо,"Нижегородская область, г.о. Бор, с. Кантаурово"
Труба стальная 426 бу,3000,https://www.avito.ru/kingisepp/remont_i_stroitelstvo/truba_stalnaya_426_bu_3298957560,"Труба стальная 426 бу. Длина -5,8 м. Стенка — 6 мм. Цена за 1 м.",17,сегодня в 14:02,Частное лицо,"Ленинградская область, Кингисеппский р-н, Кингисеппское городское поселение, Кингисепп"
Труба металлическая диаметр 530,6000,https://www.avito.ru/nizhegorodskaya_oblast_pavlovo/remont_i_stroitelstvo/truba_metallicheskaya_diametr_530_3441252897,Труба 97-530-6мм.,515,сегодня в 14:36,Частное лицо,"Нижегородская область, Павловский муниципальный округ, с. Таремское"
Труба металлическая 530 бу,63180,https://www.avito.ru/tobolsk/remont_i_stroitelstvo/truba_metallicheskaya_530_bu_3025072765,"Продам трубу металлическую диаметр 530, толщина стенки 8, 11,7 метров в наличии.",301,сегодня в 15:12,Частное лицо,"Тюменская область, Тобольск"
Труба металлическая,25000,https://www.avito.ru/omsk/remont_i_stroitelstvo/truba_metallicheskaya_3217323753,Труба длинна 3.40 высота 1220 цена металолома.,133,сегодня в 15:23,Частное лицо,"Омская область, Омск"
Труба 530х8 бу,58000,https://www.avito.ru/moskva/remont_i_stroitelstvo/truba_530h8_bu_3518008389,"3,72м, 4м, 4,41м-2шт., 3,97м, 3,35м, 2,42м, 2,53м, 2,50м, 2,63м.",0,сегодня в 16:17,Частное лицо,Москва
Труба стальная бу 325х8,2800,https://www.avito.ru/sarapul/remont_i_stroitelstvo/truba_stalnaya_bu_325h8_2998647125,"Продам стальную трубу б/у. 325х8мм, длина 1,3м — 2800 рублей.",742,сегодня в 16:50,Частное лицо,"Удмуртская Республика, Сарапул"
Труба мет. 325х9,32000,https://www.avito.ru/moskva/remont_i_stroitelstvo/truba_met._325h9_3505468717,Труба Мет. 325*9 б/у.,0,сегодня в 16:46,Частное лицо,Москва
Труба металлическая,40000,https://www.avito.ru/ulyanovsk/remont_i_stroitelstvo/truba_metallicheskaya_2971802939,Труба металлическая. Длинна 1015см. Диаметр: 530мм Толщина: 8мм. Самовывоз.,129,сегодня в 17:01,Частное лицо,"Ульяновская область, Ульяновск"
Труба металлическая 530,8000,https://www.avito.ru/chistopol/remont_i_stroitelstvo/truba_metallicheskaya_530_2535125941,"Продам трубу диаметр 530, стенка 9мм. Длинна 83 см. Не нефтянка, чистая.",1249,сегодня в 17:19,Частное лицо,"Республика Татарстан, Чистопольский р-н, муниципальное образование Город Чистополь, Чистополь"
Труба 525,2000,https://www.avito.ru/tomsk/remont_i_stroitelstvo/truba_525_3794027223,Продам трубу диаметром 525мм высота 530мм.,0,сегодня в 17:27,Частное лицо,"Томская область, Томск"
Труба металлическая 530 бу,4000,https://www.avito.ru/glebovskiy/remont_i_stroitelstvo/truba_metallicheskaya_530_bu_3360931728,"Труба металлическая, диаметр 530 мм, толщина стенки 8-10 мм, разной длинны, б/у, обработанные битумной мастикой, для укладки под дорожное полотно.4000р/м. П.",250,сегодня в 17:27,Частное лицо,"Московская область, г.о. Истра"
Труба стальная 1000,40,https://www.avito.ru/perm/remont_i_stroitelstvo/truba_stalnaya_1000_3100934578,"Продам трубу стальную 1020*12, остаток 3-4 метра.",142,сегодня в 18:01,Частное лицо,"Пермский край, Пермь"
Труба железная 325,15000,https://www.avito.ru/groznyy/remont_i_stroitelstvo/truba_zheleznaya_325_2563966233,Длина 5.5м диаметр 30см. Толщина металла 10мм. Торг.,792,сегодня в 18:10,Частное лицо,"Чеченская Республика, Грозный"
"Труба бу, Tруба восстановленная оптом",1,https://www.avito.ru/nefteyugansk/remont_i_stroitelstvo/truba_bu_truba_vosstanovlennaya_optom_3047997126,"Труба БУ, Востановленная. От 60 мм до 1020 мм. За наличный и безналичный с Ндс расчет Хмао. Самовывоз, возможна доставка! - [Нажмите] на « » чтоб объявление было в избранном, быть в курсе персональных скидок.",90,сегодня в 19:00,Частное лицо,"Тюменская область, Нефтеюганск"
Продам трубы бу и лежалые,33000,https://www.avito.ru/moskva/remont_i_stroitelstvo/prodam_truby_bu_i_lezhalye_1908236253,"В продаже всегда имеются трубы диаметрами: 57х3, 57х4, 57х6. 60х5. 73х4, 73х5,5, 73х6, 73х7, 73х8, 73х9, 73х10. 89х4, 89х5, 89х6, 89х7, 89х8. 102х4, 102х5, 102х6, 102х7, 102х8. 108х4, 108х5, 108х6, 108х7, 108х8, 108х10. 114х4, 114х5, 114х6, 114х7, 114х8, 114х9, 114х10, 114х12, 114х14. 133х4, 133х5, 133х6, 133х7, 133х8, 133х9, 133х10, 133х12. 159х4, 159х5, 159х6, 159х7, 159х8, 159х9, 159х10, 159х12, 159х14, 159х16, 159х20. 219х4, 219х5, 219х6, 219х7, 219х8, 219х9, 219х10, 219х12, 219х14, 219х16, 219х20, 219х25. 245х8, 245х9, 245х10. 273х4, 273х5, 273х6, 273х7, 273х8, 273х9, 273х10, 273х12. 299х4, 299х5, 299х6, 299х8, 299х9, 299х10. 325х4, 325х5, 325х6, 325х7, 325х8, 325х9, 325х10, 325х12, 325х14, 325х16, 325х20. 377х6, 377х7, 377х8, 377х9, 377х10, 377х11, 377х12. 426х5, 426х6, 426х7, 426х8, 426х9, 426х10, 426х12, 426х14. 426х16, 426х18, 426х20. 508х9, 508х10, 508х11. 529х7, 529х8, 529х10, 529х11. 530х6, 530х7, 530х8, 530х9, 530х10, 530х12, 530х14, 530х16, 530х20. 630х6, 630х7, 630х8, 630х9, 630х10, 630х11, 630х12, 630х16. 720х7, 720х8, 720х9, 720х10, 720х12, 720х14, 720х16, 720х18, 720х20, 720х22, 720х25, 720х30. 820х7, 820х8, 820х9, 820х10, 820х12, 820х14, 820х16, 820х18, 820х20, 820х22, 820х25, 820х30. 920х7, 920х8, 920х9, 920х10, 920х12, 920х14, 920х16, 920х18, 920х20, 920х22, 920х25, 920х30. 1020х7, 1020х8, 1020х9, 1020х10, 1020х12, 1020х14, 1020х15, 1020х16, 1020х18, 1020х20, 1020х21,6, 1020х22, 1020х25, 1020х30. 1220х8, 1220х9, 1220х10, 1220х12, 1220х14, 1220х15, 1220х16, 1220х18, 1220х20, 1220х21,6, 1220х22, 1220х25, 1220х30. 1420х12, 1420х14, 1420х15, 1420х16, 1420х18, 1420х20, 1420х21,6, 1420х22, 1420х25.8 1420х32. 1620х8, 1620х9, 1620х10, 1620х12, 1620х14, 1620х15, 1620х16, 1620х18, 1620х20, 1620х21,6, 1620х22, 1620х25, 1620х30. 1720х8, 1720х9, 1720х10, 1720х12, 1720х14, 1720х15, 1720х16, 1720х18, 1720х20, 1720х21,6, 1720х22, 1720х25, 1720х30. Так же в продаже б/у Балка 55б1, 55б2 и 60б2. Цена указана за тонну от 33000 рублей.",17269,сегодня в 19:29,Частное лицо,Москва
Труба 426х10,35000,https://www.avito.ru/krasnoyarskiy_kray_berezovka/remont_i_stroitelstvo/truba_426h10_2625081586,В наличии 15т.,1717,сегодня в 19:53,Частное лицо,"Красноярский край, Берёзовский р-н, пос. городского типа Березовка"
Труба металлическая 426 с изоляцией,30000,https://www.avito.ru/yartsevo/remont_i_stroitelstvo/truba_metallicheskaya_426_s_izolyatsiey_3309082505,Наружный диаметр 426. Толщина стенки 6 мм. Длинна 11.7 метра. Можно кусками.,42,сегодня в 20:06,Частное лицо,"Смоленская область, Ярцевский р-н, Ярцево"
Труба 325х8 мм,22505,https://www.avito.ru/abinsk/remont_i_stroitelstvo/truba_325h8_mm_1280435457,"Трубостойка. 325х8 мм. С пятками по концам под вертикальную установку. Длина 4 метра. Отлично подойдёт для постройки тяжелого строения, подпорки второго этажа, автомойки, мастерской, можно кинуть на заезд перед домом и т. Д… Цена за 1 штуку.",779,сегодня в 20:39,Частное лицо,"Краснодарский край, Абинский р-н, Абинск"
Труба металлическая диаметром 530мм,35,https://www.avito.ru/tambov/remont_i_stroitelstvo/truba_metallicheskaya_diametrom_530mm_2125648891,"Труба круглая 530мм, длинна 6 метров, толщина 7мм. В метре 90кг, вес трубы 540кг×35р=18900.",1286,сегодня в 00:09,Частное лицо,"Тамбовская область, Тамбов"
"Труба 530*7,9-10 б/у",75000,https://www.avito.ru/krasnoyarsk/remont_i_stroitelstvo/truba_53079-10_bu_3439297545,"Продам трубу б/у восстановленную 530*7,9-10 мм.",22,сегодня в 05:47,Частное лицо,"Красноярский край, Красноярск"
Труба 1020*11-14 мм,67000,https://www.avito.ru/krasnoyarsk/remont_i_stroitelstvo/truba_102011-14_mm_3439316205,"Продам трубу 1020*11-14 мм из под нефти восстановленную, объемы есть.",16,сегодня в 05:45,Частное лицо,"Красноярский край, Красноярск"
Труба металлическая в канаву,1500,https://www.avito.ru/uva/remont_i_stroitelstvo/truba_metallicheskaya_v_kanavu_1718022436,"Продам трубы диаметром 325-5мм. Цена за метр, возможна доставка, длина 6 м.",2352,сегодня в 05:42,Частное лицо,"Удмуртская Республика, Увинский р-н, с. Ува-Тукля"
Продам трубу металлическую,18000,https://www.avito.ru/posevnaya/remont_i_stroitelstvo/prodam_trubu_metallicheskuyu_2156254839,"Продам трубу диаметром 426 мм., длинной 10 м. Толщина стенки 6 мм.",133,сегодня в 04:50,Частное лицо,"Новосибирская область, Черепановский р-н, рабочий пос. Посевная"
Труба металическая б/у в канаву для заезда,5000,https://www.avito.ru/andreevka/remont_i_stroitelstvo/truba_metalicheskaya_bu_v_kanavu_dlya_zaezda_3628600841,Труба металическая 325х5 8 мм для организации проезда через канаву или других целей.,0,сегодня в 06:56,Частное лицо,"Московская область, г.о. Солнечногорск, рабочий пос. Андреевка"
"Труба бу, восстановленная, лежалая, новая",1,https://www.avito.ru/omsk/remont_i_stroitelstvo/truba_bu_vosstanovlennaya_lezhalaya_novaya_3048651085,"Труба БУ, восстановленная, лежалая, новая. В наличии: тонкостенная, толстостенная (документы). Нефтянка, водянка. Диаметры восстановленной трубы. В наличии: 89, 133, 152, 219, 273, 325, 530, 720, 1020, 1420. Диаметры БУ трубы(качество отличное). В наличии: 114, 168, 219, 273, 325, 530, 720, 820, 1020. Цена зависит от Объёма закупки. Погрузка трубы БУ, осуществляется с месторождения, Ханты-мансийский-Авт-Округ, Янао. Доставка/самовывоз. - [Нажмите] на « » чтоб объявление было в избранном, быть в курсе персональных скидок.",38,сегодня в 07:33,Частное лицо,"Омская область, Омск"
Трубы 720х9 ст.17Г1С электросварные,60000,https://www.avito.ru/podolsk/remont_i_stroitelstvo/truby_720h9_st.17g1s_elektrosvarnye_2923714845,"Продам трубы лежалую 720х9 ст.17Г1С электросварные спиральношовные изготавливаются по ГОСТ 20295-85 Тип 3. АО Втз. В наличии 4 хлыста. Цена 60000,00 руб. /тонна Труба не Б/У.",42,сегодня в 07:42,Компания,"Московская область, Подольск"
"Труба 426 бу, востановленная",58000,https://www.avito.ru/samara/remont_i_stroitelstvo/truba_426_bu_vostanovlennaya_2393390443,426х8-9-150м. 426х10 -16 тон (хлысты от 5 до 7м).,55,сегодня в 08:02,Частное лицо,"Самарская область, Самара"
Трубы металлические бу 530,14000,https://www.avito.ru/zudilovo/remont_i_stroitelstvo/truby_metallicheskie_bu_530_3469783537,Возможно доставка.,180,сегодня в 08:06,Частное лицо,"Алтайский край, Первомайский р-н, с. Зудилово"
Труба металлическая 630х10 вус,65000,https://www.avito.ru/samara/remont_i_stroitelstvo/truba_metallicheskaya_630h10_vus_2105722941,"Предлoжeние по трубaм. 89х6гк в изоляции 259м. 325х8 в вус сталь 13хфа 260м(16т). 426х10 чист бу ( от 4 до 6,5м)-16 т. 630х10 новая в вус -100м(16т). 530х8 новая в вус -100м (10 тон). 720х9 новая вус 24м. 820х9 вост -100м (17т). 1020х15 б/у чист -48м. 1220х15 лежак 10м. Звоните уточняйте цены. Все в наличии на базе.",212,сегодня в 08:19,Частное лицо,"Самарская область, Самара"
"Труба 219, 325, 530, 820, 1020",50,https://www.avito.ru/orenburg/remont_i_stroitelstvo/truba_219_325_530_820_1020_2391836556,"Продам трубу 820*10 б/у в отличном состоянии. Снаружи и внутри чистая, разрезана по швам. Длина 11,5м. Общее количество 6 шт. Оплата нал/банк. Терминал. Резка в размер. Труба 219, 325 по 6 метров. Труба 530, 1020 от 7 до 10 метров.",694,сегодня в 08:54,Частное лицо,"Оренбургская область, Оренбург"
Оборудование-труба 630мм,50,https://www.avito.ru/chita/remont_i_stroitelstvo/oborudovanie-truba_630mm_3129777314,"Труба 630 мм Цена указана из расчета за 1кг веса! Вес 1 метра-154,43 кг! Толщина стенки-10 мм (630/10)!",128,сегодня в 09:21,Частное лицо,"Забайкальский край, Чита"
Труба металлическая 325мм,52000,https://www.avito.ru/taman/remont_i_stroitelstvo/truba_metallicheskaya_325mm_3152654196,Труба металлическая. Диаметр 325 мм. Толщина стенки 5 мм. Общая длина 33000мм(33 метра): _3 трубы по 8000мм( 24метра). _1 труба 5000мм(5 метров). _1 труба 3000мм(3 метра). _1 труба 1000мм(1 метр). Использовались в качестве мачт освещения! (воды и прочих тех. Жидкостей не видели).,104,сегодня в 09:20,Частное лицо,"Краснодарский край, Темрюкский р-н, Таманское сельское поселение, станица Тамань"
"Трубы 325. 10 м, и 10 мм. Толщина",50,https://www.avito.ru/vladikavkaz/remont_i_stroitelstvo/truby_325._10_m_i_10_mm._tolschina_3508423872,"Труба. 325. Всего 100 м. 9 м-10 м. Есть 18иметровые. Продаём по кусочкам, как хотите 50 р килограмм. Звоните, пишите.",147,сегодня в 09:19,Частное лицо,Республика Северная Осетия — Владикавказ
Труба 530х10,19,https://www.avito.ru/krasnodar/remont_i_stroitelstvo/truba_530h10_3250452876,В наличии трубы диаметром 530 мм с толщиной стенки от 5 до 22 мм и длиной от 5 до 24 м. Новые и бу.,11,сегодня в 09:17,Частное лицо,"Краснодарский край, Краснодар"
Труба металлическая 273*8,1700,https://www.avito.ru/ufa/remont_i_stroitelstvo/truba_metallicheskaya_2738_3212776960,Труба 273*8 от 4 до 5 метров 3штук хорошего качества. Торг. Продается или обменяется на 530 или 426 трубу с моей доплатой. 1700за метр(32рублей кг). Есть доставка на манипуляторе по цене договоримся (если не далеко то бесплатно привезу).,441,сегодня в 09:28,Частное лицо,"Республика Башкортостан, Уфа, СНТ Мотор"
Трубы,35,https://www.avito.ru/balezino/remont_i_stroitelstvo/truby_1017387460,"Продам кругляк металла диаметр 90 мм длина3.8 м. Трубы диаметр 299мм толщина 10мм длина 5м, диаметр 820мм толщина 9мм длина 6м.",946,сегодня в 09:39,Частное лицо,"Удмуртская Республика, Балезинский р-н, пос. Балезино"
Трубы б/у,43900,https://www.avito.ru/vidnoe/remont_i_stroitelstvo/truby_bu_3571150988,Бу трубы 720 стенка от 8 до 10 мм. Хорошее состояние. Самовывоз и доставка.,2,сегодня в 10:10,Частное лицо,"Московская область, Ленинский г.о., Видное"
Труба бу 720,39000,https://www.avito.ru/ekaterinburg/remont_i_stroitelstvo/truba_bu_720_3203691513,"Продам трубы б/у 720х7-7,4 прямошовная, электросварная, очищена от изоляции. Цена 39000р/тн с Ндс по безналу. Работаем с юридическими лицами. Доставка по всей России и Снг, автомобильным и железнодорожным транспортом. Также в продаже имеются другие диаметры: 530, 630, 720, 820, 1020, 1220, 1420мм. Продажа оптом. Предоставляем услуги: - механическая очистка поверхности труб. - пескоструйная обработка. - нарезка фасок. Оплата на расчетный счет с Ндс. Звоните с 9 до 19.",167,сегодня в 10:04,Частное лицо,"Свердловская область, Екатеринбург"
Труба стальная 720 бу,43900,https://www.avito.ru/reutov/remont_i_stroitelstvo/truba_stalnaya_720_bu_3570875919,Трубы 720 б/у в хорошем состоянии. Толщина стенки от 8 до 10. В наличии большое количество трубы. Самовывоз и доставка.,7,сегодня в 10:11,Частное лицо,"Московская область, Реутов"
Трубы бу 720x9,43900,https://www.avito.ru/mytischi/remont_i_stroitelstvo/truby_bu_720x9_3570842155,"Б/у трубы 720*9 в хорошем состоянии. Есть толщина стенки 8,9,10. В наличии от 108 до 1420. Самовывоз и доставка.",0,сегодня в 10:11,Частное лицо,"Московская область, Мытищи"
Труба бу 720,44000,https://www.avito.ru/moskva/remont_i_stroitelstvo/truba_bu_720_3571274718,Трубы 720*9 б/у в хорошем состоянии. Доставка собственным транспортом. Самовывоз.,4,сегодня в 10:11,Частное лицо,Москва
Труба 630*6,45,https://www.avito.ru/yaroslavl/remont_i_stroitelstvo/truba_6306_3596288826,Труба 630*6 спиралка.,30,сегодня в 10:27,Частное лицо,"Ярославская область, Ярославль"
Труба металлическая 630 мм,8000,https://www.avito.ru/cheboksary/remont_i_stroitelstvo/truba_metallicheskaya_630_mm_3508615437,"Продаю остатки трубы с диаметром 630 мм, толщина стенок 10 мм. Есть разные длины от 0.5 м до 4м.",267,сегодня в 10:42,Частное лицо,"Чувашская Республика, Чебоксары"
Труба,50000,https://www.avito.ru/tobolsk/remont_i_stroitelstvo/truba_3396655859,Продается труба. 530 стенка 10. 426 стенка 13. 273 стенка 10. В больших количествах.,145,сегодня в 11:17,Частное лицо,"Тюменская область, Тобольск"
"Труба 1220х17,7",65000,https://www.avito.ru/krasnoyarsk/remont_i_stroitelstvo/truba_1220h177_2670622389,"Труба ф1220х17,7 Б/У Газовка в наличии 2 штуки идеальна для восстановления.",54,сегодня в 11:25,Частное лицо,"Красноярский край, Красноярск"
Труба 325х8-10 Б/У,60000,https://www.avito.ru/krasnoyarsk/remont_i_stroitelstvo/truba_325h8-10_bu_2990630032,"Труба Б/У 325х8-10 паровка в наличии 15 тонн длина от 6,50 до 10 метров.",73,сегодня в 11:23,Частное лицо,"Красноярский край, Красноярск"
Труба 720х10 ст.17Г1С (Лежак),75000,https://www.avito.ru/krasnoyarsk/remont_i_stroitelstvo/truba_720h10_st.17g1s_lezhak_3470082008,. Труба 720х10 ст.17Г1С класс прочности К52 в наличии 500 тонн.,14,сегодня в 11:23,Частное лицо,"Красноярский край, Красноярск"
